measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Swaziland,Both,All Ages,Chronic respiratory diseases,Percent,1991,0.0655844900067,0.0720918405377,0.0597696436716
Prevalence,Swaziland,Both,All Ages,Chronic respiratory diseases,Rate,1991,6384.49190451,6999.47861141,5812.76001086
Prevalence,Italy,Both,All Ages,Cardiovascular diseases,Number,1991,5778642.04796,6052351.09397,5511797.76837
Prevalence,Italy,Both,All Ages,Cardiovascular diseases,Percent,1991,0.106340825822,0.111349241545,0.101318385315
Prevalence,Italy,Both,All Ages,Cardiovascular diseases,Rate,1991,10180.743171099999,10662.9605291,9710.6200774
Prevalence,The Gambia,Both,All Ages,Chronic respiratory diseases,Number,1990,48382.979418,54122.6641718,42995.6190296
Prevalence,The Gambia,Both,All Ages,Chronic respiratory diseases,Percent,1990,0.0498750243627,0.0558479326131,0.0443603929143
Prevalence,The Gambia,Both,All Ages,Chronic respiratory diseases,Rate,1990,4905.34588872,5487.26827854,4359.1441779199995
Prevalence,Turkmenistan,Both,All Ages,Cardiovascular diseases,Number,1990,135309.444161,140324.92918,130139.775841
Prevalence,Turkmenistan,Both,All Ages,Cardiovascular diseases,Percent,1990,0.0383381565029,0.039791701893,0.0368598525057
Prevalence,Turkmenistan,Both,All Ages,Cardiovascular diseases,Rate,1990,3655.56184222,3791.06173856,3515.8964821100003
Prevalence,Fiji,Both,All Ages,Chronic respiratory diseases,Number,1990,77835.4010985,85835.8088202,70322.0349347
Prevalence,Fiji,Both,All Ages,Chronic respiratory diseases,Percent,1990,0.105024521901,0.115602324914,0.0948558144092
Prevalence,Fiji,Both,All Ages,Chronic respiratory diseases,Rate,1990,10205.982991199999,11255.0175433,9220.81061214
Prevalence,Djibouti,Both,All Ages,Cardiovascular diseases,Number,1991,13019.6617913,13535.8002525,12469.4373659
Prevalence,Djibouti,Both,All Ages,Cardiovascular diseases,Percent,1991,0.0270998043231,0.0282018672987,0.0259612379836
Prevalence,Djibouti,Both,All Ages,Cardiovascular diseases,Rate,1991,2624.17368074,2728.20379975,2513.27337635
Prevalence,Qatar,Both,All Ages,Cardiovascular diseases,Number,1990,14476.5207814,15435.1253342,13538.7412515
Prevalence,Qatar,Both,All Ages,Cardiovascular diseases,Percent,1990,0.0343216331148,0.0365515997989,0.0321240878262
Prevalence,Qatar,Both,All Ages,Cardiovascular diseases,Rate,1990,3265.63049409,3481.87363058,3054.08509063
Prevalence,Sao Tome and Principe,Both,All Ages,Cardiovascular diseases,Number,1991,5221.7767616,5473.61116154,4988.40088195
Prevalence,Sao Tome and Principe,Both,All Ages,Cardiovascular diseases,Percent,1991,0.0426693018322,0.0447602974636,0.040728292222
Prevalence,Sao Tome and Principe,Both,All Ages,Cardiovascular diseases,Rate,1991,4198.91458601,4401.41867292,4011.25329182
Prevalence,Latvia,Both,All Ages,Cardiovascular diseases,Number,1990,238732.862414,247902.727322,230278.287371
Prevalence,Latvia,Both,All Ages,Cardiovascular diseases,Percent,1990,0.0921844348386,0.0957201305252,0.0888573291956
Prevalence,Latvia,Both,All Ages,Cardiovascular diseases,Rate,1990,8781.3498557,9118.64649375,8470.36384152
Prevalence,Panama,Both,All Ages,Cardiovascular diseases,Number,1990,98723.7586463,103516.974265,94244.5002186
Prevalence,Panama,Both,All Ages,Cardiovascular diseases,Percent,1990,0.0434505411392,0.0455468106588,0.0415040129995
Prevalence,Panama,Both,All Ages,Cardiovascular diseases,Rate,1990,4134.87101913,4335.62642615,3947.2651569399995
Prevalence,Latvia,Both,All Ages,Chronic respiratory diseases,Number,1990,238794.852103,256457.850213,221968.006599
Prevalence,Latvia,Both,All Ages,Chronic respiratory diseases,Percent,1990,0.0922075516966,0.0990591177422,0.0856768873684
Prevalence,Latvia,Both,All Ages,Chronic respiratory diseases,Rate,1990,8783.63003255,9433.33097586,8164.68542709
Prevalence,Laos,Both,All Ages,Cardiovascular diseases,Number,1991,156694.448585,162891.329423,150705.343397
Prevalence,Laos,Both,All Ages,Cardiovascular diseases,Percent,1991,0.0374871507475,0.0389868372011,0.0360475705048
Prevalence,Laos,Both,All Ages,Cardiovascular diseases,Rate,1991,3685.4496533999995,3831.2001413299995,3544.5860437499996
Prevalence,Macedonia,Both,All Ages,Cardiovascular diseases,Number,1991,149421.024813,155801.904686,143035.373711
Prevalence,Macedonia,Both,All Ages,Cardiovascular diseases,Percent,1991,0.0772259496718,0.0805869619992,0.0739202747121
Prevalence,Macedonia,Both,All Ages,Cardiovascular diseases,Rate,1991,7423.921230829999,7740.95258314,7106.652821999999
Prevalence,Macedonia,Both,All Ages,Chronic respiratory diseases,Number,1991,190056.680168,206034.157924,176047.730151
Prevalence,Macedonia,Both,All Ages,Chronic respiratory diseases,Percent,1991,0.0982272696728,0.106326708598,0.0908755201859
Prevalence,Macedonia,Both,All Ages,Chronic respiratory diseases,Rate,1991,9442.88680074,10236.721112,8746.85796824
Prevalence,Sao Tome and Principe,Both,All Ages,Chronic respiratory diseases,Number,1991,8398.91000025,9347.6159235,7535.96935006
Prevalence,Sao Tome and Principe,Both,All Ages,Chronic respiratory diseases,Percent,1991,0.0686306497314,0.0763712738985,0.0615678311851
Prevalence,Sao Tome and Principe,Both,All Ages,Chronic respiratory diseases,Rate,1991,6753.698466379999,7516.56814099,6059.79402574
Prevalence,Tanzania,Both,All Ages,Cardiovascular diseases,Number,1990,741409.129909,770304.405844,712517.907142
Prevalence,Tanzania,Both,All Ages,Cardiovascular diseases,Percent,1990,0.0289672690884,0.0300851662787,0.0278168810188
Prevalence,Tanzania,Both,All Ages,Cardiovascular diseases,Rate,1990,2863.84874984,2975.46283244,2752.25032346
Prevalence,Uzbekistan,Both,All Ages,Cardiovascular diseases,Number,1990,783834.017953,812155.137341,754443.482253
Prevalence,Uzbekistan,Both,All Ages,Cardiovascular diseases,Percent,1990,0.0387551538466,0.0401918697043,0.0372939449904
Prevalence,Uzbekistan,Both,All Ages,Cardiovascular diseases,Rate,1990,3739.3525192899997,3874.46103296,3599.14225641
Prevalence,Ghana,Both,All Ages,Cardiovascular diseases,Number,1990,489550.136561,511255.04456,467003.438153
Prevalence,Ghana,Both,All Ages,Cardiovascular diseases,Percent,1990,0.0332285028148,0.03474462312,0.0316927587001
Prevalence,Ghana,Both,All Ages,Cardiovascular diseases,Rate,1990,3277.6156840900003,3422.9334801000005,3126.6619680000003
Prevalence,Swaziland,Both,All Ages,Cardiovascular diseases,Number,1991,23164.5492415,23996.692243,22292.2386033
Prevalence,Swaziland,Both,All Ages,Cardiovascular diseases,Percent,1991,0.0286002435446,0.0296580532509,0.0275329470514
Prevalence,Swaziland,Both,All Ages,Cardiovascular diseases,Rate,1991,2784.1505747,2884.16596425,2679.30743102
Prevalence,Cyprus,Both,All Ages,Cardiovascular diseases,Number,1990,53872.382248,56708.9896226,50998.6483334
Prevalence,Cyprus,Both,All Ages,Cardiovascular diseases,Percent,1990,0.0739800236155,0.0781509909115,0.06995809832
Prevalence,Cyprus,Both,All Ages,Cardiovascular diseases,Rate,1990,6942.732288380001,7308.296326709999,6572.38361613
Prevalence,Estonia,Both,All Ages,Cardiovascular diseases,Number,1992,144811.582437,149807.330659,139913.399506
Prevalence,Estonia,Both,All Ages,Cardiovascular diseases,Percent,1992,0.0988531276619,0.102278818508,0.0955487584277
Prevalence,Estonia,Both,All Ages,Cardiovascular diseases,Rate,1992,9392.12000909,9716.13184606,9074.436014910001
Prevalence,Egypt,Both,All Ages,Chronic respiratory diseases,Number,1991,5184961.4172,5776246.97719,4638288.43545
Prevalence,Egypt,Both,All Ages,Chronic respiratory diseases,Percent,1991,0.0952580020051,0.1062358182,0.0851255765069
Prevalence,Egypt,Both,All Ages,Chronic respiratory diseases,Rate,1991,9245.16783246,10299.473506,8270.409669570001
Prevalence,Uzbekistan,Both,All Ages,Chronic respiratory diseases,Number,1990,1315812.99948,1432111.03128,1199012.92409
Prevalence,Uzbekistan,Both,All Ages,Chronic respiratory diseases,Percent,1990,0.0650574507648,0.070790382737,0.0594344709415
Prevalence,Uzbekistan,Both,All Ages,Chronic respiratory diseases,Rate,1990,6277.2073447,6832.017838060001,5720.0018060699995
Prevalence,Djibouti,Both,All Ages,Chronic respiratory diseases,Number,1991,27324.9474576,31144.2058339,23822.3576587
Prevalence,Djibouti,Both,All Ages,Chronic respiratory diseases,Percent,1991,0.0568752665002,0.064738112748,0.0494992003527
Prevalence,Djibouti,Both,All Ages,Chronic respiratory diseases,Rate,1991,5507.47086178,6277.260236640001,4801.50751865
Prevalence,Ecuador,Both,All Ages,Cardiovascular diseases,Number,1991,353896.529317,370034.272569,338503.696252
Prevalence,Ecuador,Both,All Ages,Cardiovascular diseases,Percent,1991,0.0357471434265,0.0373366417862,0.0341640234423
Prevalence,Ecuador,Both,All Ages,Cardiovascular diseases,Rate,1991,3454.0125621700004,3611.51613539,3303.7792753999997
Prevalence,Vanuatu,Both,All Ages,Chronic respiratory diseases,Number,1991,16847.3980701,18573.7412643,15153.2339873
Prevalence,Vanuatu,Both,All Ages,Chronic respiratory diseases,Percent,1991,0.111040014026,0.122512965643,0.100023353229
Prevalence,Vanuatu,Both,All Ages,Chronic respiratory diseases,Rate,1991,10940.0253297,12061.0434355,9839.90304963
Prevalence,Haiti,Both,All Ages,Cardiovascular diseases,Number,1990,249507.250224,259400.028194,240390.523137
Prevalence,Haiti,Both,All Ages,Cardiovascular diseases,Percent,1990,0.0397889033212,0.0413264789184,0.0383213702126
Prevalence,Haiti,Both,All Ages,Cardiovascular diseases,Rate,1990,3912.7338362600003,4067.87083954,3769.76674205
Prevalence,Israel,Both,All Ages,Chronic respiratory diseases,Number,1991,475222.406304,517911.819935,437704.330778
Prevalence,Israel,Both,All Ages,Chronic respiratory diseases,Percent,1991,0.100154408736,0.109197653428,0.0923500209138
Prevalence,Israel,Both,All Ages,Chronic respiratory diseases,Rate,1991,9315.08650255,10151.8643469,8579.67479994
Prevalence,Bermuda,Both,All Ages,Chronic respiratory diseases,Number,1990,5933.31957762,6515.94953577,5370.87626885
Prevalence,Bermuda,Both,All Ages,Chronic respiratory diseases,Percent,1990,0.104358938049,0.114539176133,0.094645517349
Prevalence,Bermuda,Both,All Ages,Chronic respiratory diseases,Rate,1990,10006.935602399999,10989.579533,9058.33779014
Prevalence,Central African Republic,Both,All Ages,Cardiovascular diseases,Number,1990,75082.478987,77722.7529984,72355.9583029
Prevalence,Central African Republic,Both,All Ages,Cardiovascular diseases,Percent,1990,0.0276095505871,0.0285818632472,0.0266041379189
Prevalence,Central African Republic,Both,All Ages,Cardiovascular diseases,Rate,1990,2746.1781599799997,2842.74746515,2646.45434083
Prevalence,Central African Republic,Both,All Ages,Chronic respiratory diseases,Number,1990,172668.570033,194124.464977,154314.327154
Prevalence,Central African Republic,Both,All Ages,Chronic respiratory diseases,Percent,1990,0.0634939808466,0.0713553946595,0.0567362089749
Prevalence,Central African Republic,Both,All Ages,Chronic respiratory diseases,Rate,1990,6315.43686804,7100.196653460001,5644.12151434
Prevalence,Tanzania,Both,All Ages,Chronic respiratory diseases,Number,1990,1543840.98149,1767755.69567,1341954.84444
Prevalence,Tanzania,Both,All Ages,Chronic respiratory diseases,Percent,1990,0.0603185408295,0.0690707664937,0.0524560478268
Prevalence,Tanzania,Both,All Ages,Chronic respiratory diseases,Rate,1990,5963.41060075,6828.32829385,5183.58292143
Prevalence,Haiti,Both,All Ages,Chronic respiratory diseases,Number,1990,757384.116828,854438.865219,666046.048989
Prevalence,Haiti,Both,All Ages,Chronic respiratory diseases,Percent,1990,0.120778125504,0.136207870996,0.106141660071
Prevalence,Haiti,Both,All Ages,Chronic respiratory diseases,Rate,1990,11877.1797545,13399.1772021,10444.8304009
Prevalence,Italy,Both,All Ages,Chronic respiratory diseases,Number,1991,4196221.56314,4457707.739,3937693.50439
Prevalence,Italy,Both,All Ages,Chronic respiratory diseases,Percent,1991,0.0772204043703,0.0819771724103,0.0723715945081
Prevalence,Italy,Both,All Ages,Chronic respiratory diseases,Rate,1991,7392.853488580001,7853.536738569999,6937.38181429
Prevalence,Ghana,Both,All Ages,Chronic respiratory diseases,Number,1990,706292.126312,781165.967199,637312.456924
Prevalence,Ghana,Both,All Ages,Chronic respiratory diseases,Percent,1990,0.047939730289,0.053048930507,0.0433829246894
Prevalence,Ghana,Both,All Ages,Chronic respiratory diseases,Rate,1990,4728.73762637,5230.02984732,4266.90781695
Prevalence,United Kingdom,Both,All Ages,Chronic respiratory diseases,Number,1990,9252549.82143,9908230.34046,8659089.48721
Prevalence,United Kingdom,Both,All Ages,Chronic respiratory diseases,Percent,1990,0.169507441193,0.181284538008,0.158681394536
Prevalence,United Kingdom,Both,All Ages,Chronic respiratory diseases,Rate,1990,16072.4460439,17211.4174591,15041.5562476
Prevalence,American Samoa,Both,All Ages,Cardiovascular diseases,Number,1990,2089.71406101,2177.95614721,2007.85533586
Prevalence,American Samoa,Both,All Ages,Cardiovascular diseases,Percent,1990,0.0450630508299,0.0469562471445,0.0432927836104
Prevalence,American Samoa,Both,All Ages,Cardiovascular diseases,Rate,1990,4299.70323943,4481.266253700001,4131.274346560001
Prevalence,Somalia,Both,All Ages,Chronic respiratory diseases,Number,1990,387525.984627,440772.789126,341403.405545
Prevalence,Somalia,Both,All Ages,Chronic respiratory diseases,Percent,1990,0.0546061028923,0.0620186569984,0.0481336220131
Prevalence,Somalia,Both,All Ages,Chronic respiratory diseases,Rate,1990,5400.69908269,6142.76536888,4757.91851978
Prevalence,Panama,Both,All Ages,Chronic respiratory diseases,Number,1990,179570.201833,202796.194868,160752.893112
Prevalence,Panama,Both,All Ages,Chronic respiratory diseases,Percent,1990,0.0790299219656,0.089108635356,0.0707465452579
Prevalence,Panama,Both,All Ages,Chronic respiratory diseases,Rate,1990,7520.98211859,8493.76199252,6732.852234180001
Prevalence,Oman,Both,All Ages,Cardiovascular diseases,Number,1990,66781.7599883,71049.2347333,62232.4401692
Prevalence,Oman,Both,All Ages,Cardiovascular diseases,Percent,1990,0.0357403840588,0.0380446432071,0.033298412138
Prevalence,Oman,Both,All Ages,Cardiovascular diseases,Rate,1990,3482.2135190999998,3704.73323484,3244.99750413
Prevalence,Oman,Both,All Ages,Chronic respiratory diseases,Number,1990,91707.0085253,104611.868351,78806.0625753
Prevalence,Oman,Both,All Ages,Chronic respiratory diseases,Percent,1990,0.0490795693396,0.0560478796428,0.0421296212373
Prevalence,Oman,Both,All Ages,Chronic respiratory diseases,Rate,1990,4781.89531002,5454.79577498,4109.1989269900005
Prevalence,Estonia,Both,All Ages,Chronic respiratory diseases,Number,1990,119609.820296,128468.857307,110724.085605
Prevalence,Estonia,Both,All Ages,Chronic respiratory diseases,Percent,1990,0.0803896851818,0.0863300224029,0.0744090213793
Prevalence,Estonia,Both,All Ages,Chronic respiratory diseases,Rate,1990,7626.38097268,8191.23752986,7059.822158280001
Prevalence,Qatar,Both,All Ages,Chronic respiratory diseases,Number,1990,29194.3625119,32416.4060134,26367.7061926
Prevalence,Qatar,Both,All Ages,Chronic respiratory diseases,Percent,1990,0.0692145193412,0.0766435550026,0.0625754637548
Prevalence,Qatar,Both,All Ages,Chronic respiratory diseases,Rate,1990,6585.69845019,7312.53079276,5948.05801076
Prevalence,Afghanistan,Both,All Ages,Cardiovascular diseases,Number,1991,581511.531242,603111.220907,559942.372389
Prevalence,Afghanistan,Both,All Ages,Cardiovascular diseases,Percent,1991,0.0566139300384,0.0586133081743,0.0545210636269
Prevalence,Afghanistan,Both,All Ages,Cardiovascular diseases,Rate,1991,5593.8632642600005,5801.64196519,5386.37825517
Prevalence,Kiribati,Both,All Ages,Cardiovascular diseases,Number,1990,3145.8484159,3263.5138041,3033.1737071
Prevalence,Kiribati,Both,All Ages,Cardiovascular diseases,Percent,1990,0.0428462394472,0.0444231349566,0.0413353801376
Prevalence,Kiribati,Both,All Ages,Cardiovascular diseases,Rate,1990,4216.94283019,4374.67077813,4065.90478176
Prevalence,Argentina,Both,All Ages,Chronic respiratory diseases,Number,1990,2152235.6274,2328650.84187,2004979.3895
Prevalence,Argentina,Both,All Ages,Chronic respiratory diseases,Percent,1990,0.0695529593915,0.0749930438807,0.064839985538
Prevalence,Argentina,Both,All Ages,Chronic respiratory diseases,Rate,1990,6497.15055878,7029.711303810001,6052.614683520001
Prevalence,Antigua and Barbuda,Both,All Ages,Cardiovascular diseases,Number,1991,3802.97125051,3973.69674021,3630.59924326
Prevalence,Antigua and Barbuda,Both,All Ages,Cardiovascular diseases,Percent,1991,0.0646544623869,0.0675801468912,0.061684894342
Prevalence,Antigua and Barbuda,Both,All Ages,Cardiovascular diseases,Rate,1991,6240.8153634,6520.98215639,5957.946574709999
Prevalence,Guinea,Both,All Ages,Cardiovascular diseases,Number,1990,217880.288251,227692.866944,208257.151823
Prevalence,Guinea,Both,All Ages,Cardiovascular diseases,Percent,1990,0.0357729967066,0.0373834440751,0.0342085596583
Prevalence,Guinea,Both,All Ages,Cardiovascular diseases,Rate,1990,3543.38653015,3702.96847053,3386.8854888200003
Prevalence,Peru,Both,All Ages,Chronic respiratory diseases,Number,1991,1854680.86388,2106417.12469,1618280.74034
Prevalence,Peru,Both,All Ages,Chronic respiratory diseases,Percent,1991,0.085844088006,0.0974935718661,0.0751146865873
Prevalence,Peru,Both,All Ages,Chronic respiratory diseases,Rate,1991,8309.15747344,9436.96133102,7250.06105879
Prevalence,Argentina,Both,All Ages,Cardiovascular diseases,Number,1990,2185901.50329,2307090.74646,2072872.34585
Prevalence,Argentina,Both,All Ages,Cardiovascular diseases,Percent,1990,0.0706417489086,0.0747583989173,0.0669564425936
Prevalence,Argentina,Both,All Ages,Cardiovascular diseases,Rate,1990,6598.78081781,6964.62587164,6257.569361209999
Prevalence,Guinea,Both,All Ages,Chronic respiratory diseases,Number,1990,417256.958898,466205.159019,374726.403934
Prevalence,Guinea,Both,All Ages,Chronic respiratory diseases,Percent,1990,0.0685079370597,0.0764692456689,0.0615353281602
Prevalence,Guinea,Both,All Ages,Chronic respiratory diseases,Rate,1990,6785.848777969999,7581.8932222700005,6094.17447925
Prevalence,Ethiopia,Both,All Ages,Cardiovascular diseases,Number,1991,1445105.25587,1499561.93126,1390256.76055
Prevalence,Ethiopia,Both,All Ages,Cardiovascular diseases,Percent,1991,0.0270215653895,0.0280195311421,0.0259927668339
Prevalence,Ethiopia,Both,All Ages,Cardiovascular diseases,Rate,1991,2693.93526593,2795.45227149,2591.68783777
Prevalence,Venezuela,Both,All Ages,Cardiovascular diseases,Number,1990,537224.356904,564800.675405,508909.456881
Prevalence,Venezuela,Both,All Ages,Cardiovascular diseases,Percent,1990,0.0299755463261,0.0315535545808,0.0284448480738
Prevalence,Venezuela,Both,All Ages,Cardiovascular diseases,Rate,1990,2860.38001985,3007.20647969,2709.62108041
Prevalence,Estonia,Both,All Ages,Chronic respiratory diseases,Number,1992,114677.54566,122967.990649,106566.973017
Prevalence,Estonia,Both,All Ages,Chronic respiratory diseases,Percent,1992,0.0782820994879,0.0838205225232,0.0727678390527
Prevalence,Estonia,Both,All Ages,Chronic respiratory diseases,Rate,1992,7437.70113594,7975.398832159999,6911.6695138800005
Prevalence,Saudi Arabia,Both,All Ages,Chronic respiratory diseases,Number,1990,832200.391037,941847.960577,724183.067292
Prevalence,Saudi Arabia,Both,All Ages,Chronic respiratory diseases,Percent,1990,0.0526359462575,0.0595523422956,0.045772718623
Prevalence,Saudi Arabia,Both,All Ages,Chronic respiratory diseases,Rate,1990,5078.42848723,5747.542977810001,4419.26242587
Prevalence,Eritrea,Both,All Ages,Chronic respiratory diseases,Number,1991,133066.95118,149603.876061,117558.376792
Prevalence,Eritrea,Both,All Ages,Chronic respiratory diseases,Percent,1991,0.0568462040848,0.0639087175702,0.0502568528385
Prevalence,Eritrea,Both,All Ages,Chronic respiratory diseases,Rate,1991,5630.28630477,6329.991384489999,4974.09246245
Prevalence,China,Both,All Ages,Chronic respiratory diseases,Number,1990,82341242.716,89019352.5892,76495376.5052
Prevalence,China,Both,All Ages,Chronic respiratory diseases,Percent,1990,0.0715688010149,0.0773795634179,0.0663867787319
Prevalence,China,Both,All Ages,Chronic respiratory diseases,Rate,1990,6879.08356639,7436.9968837999995,6390.6988777999995
Prevalence,South Korea,Both,All Ages,Chronic respiratory diseases,Number,1991,2963935.92398,3234751.02345,2736718.80713
Prevalence,South Korea,Both,All Ages,Chronic respiratory diseases,Percent,1991,0.0701541223561,0.0764038787992,0.0647137688698
Prevalence,South Korea,Both,All Ages,Chronic respiratory diseases,Rate,1991,6643.15023898,7250.13549065,6133.88233211
Prevalence,Venezuela,Both,All Ages,Chronic respiratory diseases,Number,1990,1433392.97174,1594457.73869,1286218.05747
Prevalence,Venezuela,Both,All Ages,Chronic respiratory diseases,Percent,1990,0.0799776791961,0.0889162363269,0.0718412321231
Prevalence,Venezuela,Both,All Ages,Chronic respiratory diseases,Rate,1990,7631.91125697,8489.47930158,6848.297895409999
Prevalence,Senegal,Both,All Ages,Cardiovascular diseases,Number,1991,245463.13681,255374.195295,235765.018666
Prevalence,Senegal,Both,All Ages,Cardiovascular diseases,Percent,1991,0.0316961421204,0.0329624890864,0.0304538746049
Prevalence,Senegal,Both,All Ages,Cardiovascular diseases,Rate,1991,3131.28325509,3257.71499502,3007.56791704
Prevalence,Zimbabwe,Both,All Ages,Cardiovascular diseases,Number,1991,329394.141892,347180.31393,311238.38634
Prevalence,Zimbabwe,Both,All Ages,Cardiovascular diseases,Percent,1991,0.0321072335127,0.0338449701573,0.0303562180113
Prevalence,Zimbabwe,Both,All Ages,Cardiovascular diseases,Rate,1991,3101.68815698,3269.16885001,2930.72733887
Prevalence,Zimbabwe,Both,All Ages,Chronic respiratory diseases,Number,1991,499288.171148,546183.095237,457591.004929
Prevalence,Zimbabwe,Both,All Ages,Chronic respiratory diseases,Percent,1991,0.0486672043906,0.0532386045539,0.0445589953499
